epoch,accuracy,loss,val_accuracy,val_loss
38,0.9004286,0.2336151491467442,0.9392856955528259,0.15995491741171905
39,0.90157145,0.23623873960120337,0.9699285626411438,0.12770116736420564
40,0.91,0.22274681359742368,0.9689285755157471,0.11795163088291884
41,0.90885717,0.2221883528424161,0.9365000128746033,0.1660433744277273
42,0.91321427,0.21951337001366275,0.9898571372032166,0.08284287495059627
43,0.9095,0.2176331951501114,0.9796428680419922,0.09711978905435119
44,0.914,0.2106333596621241,0.9610714316368103,0.1243640741040664
45,0.9195,0.19967847825373922,0.9672142863273621,0.11445940475378717
46,0.9162857,0.20984123452646392,0.9817143082618713,0.09108277368864842
47,0.91592854,0.2013794155653034,0.989642858505249,0.07419331890131746
48,0.92207146,0.19334305433928967,0.9796428680419922,0.08895533846105848
49,0.92485714,0.19134240180573292,0.9869999885559082,0.07233422056798423
50,0.92407143,0.18935103099367448,0.9835714101791382,0.0809169018140861
51,0.92557144,0.18890401907690935,0.991357147693634,0.05854935960205538
52,0.92785716,0.18352451422384808,0.9819285869598389,0.07576201290158288
53,0.92735714,0.18431551500409843,0.9804285764694214,0.0782827201884772
54,0.93185717,0.1737586623100298,0.9938571453094482,0.05189089351998908
55,0.93378574,0.17259713220489878,0.940500020980835,0.14765200467939887
56,0.9295,0.17779501564587866,0.9886428713798523,0.06274746298257794
57,0.9319286,0.17341339337506465,0.9852856993675232,0.0686341654711536
58,0.936,0.16473456841760448,0.9922142624855042,0.05367335817324264
59,0.9358571,0.1636167338793831,0.9851428866386414,0.06657590550131032
60,0.93471426,0.16459993044340185,0.9917857050895691,0.05056974306383303
61,0.9424286,0.15544748685242873,0.9923571348190308,0.04945398081360119
62,0.9337143,0.16262303852077042,0.9419999718666077,0.1467665578036436
63,0.94371426,0.15095913177356124,0.8875714540481567,0.25434187275277714
64,0.9412857,0.14762553133655873,0.9952142834663391,0.040112327405916796
65,0.9455714,0.14480930884767856,0.9722856879234314,0.0891212864571384
66,0.94364285,0.14817350652388164,0.9961428642272949,0.03363641182892024
67,0.947,0.14178565853195532,0.9624285697937012,0.10076388463910137
68,0.9481429,0.14031488153231997,0.9936428666114807,0.04008754181808659
69,0.94942856,0.13689897513123495,0.8858571648597717,0.2564086726286582
70,0.9520714,0.12909097520900625,0.989214301109314,0.0455993046457214
71,0.94714284,0.1424054548673864,0.9938571453094482,0.03719221118119146
72,0.95278573,0.1298177589555936,0.9934285879135132,0.03898104487386133
73,0.952,0.12748157365034735,0.9955714344978333,0.030204264358218227
74,0.9524286,0.12671654630186302,0.9555000066757202,0.11380603394723897
75,0.95364285,0.12242749494048101,0.9895714521408081,0.04334571150104914
76,0.95264286,0.1287764280268124,0.9856428503990173,0.05179006745519915
77,0.9535,0.12383490360820933,0.9967857003211975,0.027388591451038207
78,0.95857143,0.11238801622896322,0.9967142939567566,0.025604818822816015
79,0.9555714,0.11771058375760914,0.8677142858505249,0.3195455727045025
80,0.9540714,0.12401489795864161,0.9847857356071472,0.052595502475542684
81,0.9587857,0.11048524743810828,0.9928571581840515,0.03455861039206918
82,0.9621429,0.10265716059452722,0.9961428642272949,0.02351599376329354
83,0.9603571,0.11040934848599136,0.9962142705917358,0.02294460594866957
84,0.9605,0.10751664639610264,0.9950714111328125,0.027446920234843023
85,0.96107143,0.10632840627125864,0.9964285492897034,0.02222084819844791
86,0.96192855,0.10403948913554528,0.9927856922149658,0.029824965807742305
87,0.96171427,0.10362945318222046,0.9970714449882507,0.02357128558387714
88,0.9632857,0.10292454496238913,0.9872857332229614,0.04379526111629924
89,0.96257144,0.09858711595926434,0.9937142729759216,0.028290680116308586
90,0.96178573,0.10364285081398807,0.9900000095367432,0.03666659006057307
91,0.9628571,0.10151270327570715,0.9928571581840515,0.032003091458829916
92,0.9662857,0.09549119557599936,0.9880714416503906,0.04140700742489259
93,0.96157146,0.10167915542590032,0.9955714344978333,0.022239848650792347
94,0.9652143,0.09356047806742468,0.9837856888771057,0.051254260245311475
95,0.96507144,0.09570030289728727,0.9940714240074158,0.024158108659421227
96,0.9675,0.09198632713946114,0.9969285726547241,0.01965812960859122
97,0.9662143,0.09791340059813644,0.99314284324646,0.026339304518952434
98,0.9654286,0.09323453352720078,0.9962857365608215,0.01797700854311032
99,0.9715,0.07893823363512223,0.9962142705917358,0.01908105194608548
0,0.5141429,0.7112395582880293,0.5932857394218445,0.670323212146759
1,0.57371426,0.6761612926210676,0.6252856850624084,0.6430962229796818
2,0.61228573,0.6531400199617658,0.6509285569190979,0.6221560331753322
3,0.6364286,0.6328855934483665,0.690500020980835,0.5894113210269383
4,0.6495714,0.6181416527543749,0.7128571271896362,0.5700325295584543
5,0.672,0.5968084021636418,0.709928572177887,0.559652302810124
6,0.68378574,0.58088253562791,0.7403571605682373,0.5283360096727099
7,0.70035714,0.5629015802315304,0.7704285979270935,0.5010375068187713
8,0.7137857,0.5431218474592482,0.7822856903076172,0.4810007423503058
9,0.72978574,0.5236579668181283,0.802142858505249,0.4552699933052063
10,0.73664284,0.5061891002144132,0.7887142896652222,0.4477318114042282
11,0.74542856,0.4914901387010302,0.8391428589820862,0.4112687041418893
12,0.76428574,0.47378845625264304,0.8477857112884521,0.39030096759114946
13,0.76771426,0.4589543563979013,0.824999988079071,0.39367949577740263
14,0.7771429,0.4468326811449868,0.8784999847412109,0.34859285511289323
15,0.78507143,0.4317029767377036,0.8770714402198792,0.3354666759967804
16,0.7942857,0.41778374460765294,0.8715000152587891,0.3296677712883268
17,0.8037143,0.40626385263034276,0.9118571281433105,0.30831368601322173
18,0.8109286,0.39404560541255135,0.9101428389549255,0.30044619170257025
19,0.82292855,0.38027419971568244,0.922428548336029,0.270094084756715
20,0.8222857,0.3739510263800621,0.9263571500778198,0.2574034918716976
21,0.83107144,0.3648058040993554,0.913357138633728,0.2608698940873146
22,0.83421427,0.35369398610080993,0.819428563117981,0.3284832285642624
23,0.84114283,0.3407451882617814,0.8473571538925171,0.29877842314754216
24,0.84092855,0.3392596765756607,0.9412142634391785,0.21828535115718842
25,0.85307145,0.3237302212800298,0.9567142724990845,0.20355736299071994
0,0.5288572,0.7127738432884216,0.6069999933242798,0.6615852448259081
26,0.858,0.31854769060441424,0.9590714573860168,0.1924326896582331
1,0.58264285,0.674417057956968,0.6283571720123291,0.6410784658363887
27,0.85907143,0.31169396944556915,0.9294285774230957,0.2158980806682791
2,0.6092857,0.6525641525132315,0.6707857251167297,0.6088470213072641
28,0.8627143,0.30879949494131975,0.8942857384681702,0.25067569924252375
3,0.62964284,0.6350391251359667,0.6859999895095825,0.5898737625735146
29,0.8692857,0.29341295058812417,0.9532856941223145,0.18060777096237454
4,0.6478571,0.6139595654010773,0.7165714502334595,0.5614443388325827
30,0.87385714,0.28713568056481226,0.9589999914169312,0.17244567516446113
5,0.6686429,0.5945884393964495,0.7377856969833374,0.5321601157529013
31,0.8742857,0.28903930445228304,0.9777857065200806,0.15645714618052756
6,0.6885,0.5755849098478045,0.7490000128746033,0.5175444922106607
32,0.882,0.27870199277571267,0.9778571724891663,0.14659098362496922
7,0.7013571,0.555139691897801,0.7588571310043335,0.49909367653301784
33,0.8809286,0.27246096574834416,0.975428581237793,0.13838554693119867
8,0.71242857,0.5380732066971915,0.797428548336029,0.4641020885535649
34,0.88942856,0.2627472837141582,0.9023571610450745,0.2135020927829402
9,0.73035717,0.5174888537270682,0.8071428537368774,0.44603935836042674
35,0.8940714,0.2572825016166483,0.9685714244842529,0.1398313089247261
10,0.7382857,0.5011975325516292,0.8287857174873352,0.4208367544412613
36,0.89607143,0.246302591579301,0.9248571395874023,0.1920593723314149
11,0.75314283,0.48437043476104735,0.8318571448326111,0.40108048939704893
37,0.8957857,0.25120008247665,0.9825714230537415,0.11503632739824908
12,0.75871426,0.47103735274927955,0.843500018119812,0.390500744666372
38,0.8962857,0.24444893302662032,0.9394285678863525,0.1669614888961826
13,0.7670714,0.45603148882729666,0.8644285798072815,0.37045744017192295
39,0.9032143,0.236145062991551,0.9854285717010498,0.105249734214374
14,0.77814287,0.4400834652526038,0.8717142939567566,0.3491319752931595
40,0.9062143,0.2281528386835541,0.9757142663002014,0.11108352183231286
15,0.7835,0.4311020636558533,0.8707143068313599,0.33989266932010653
41,0.9062143,0.22448359773308038,0.9893571138381958,0.09681993005956922
16,0.79585713,0.4155867235149656,0.9060714244842529,0.3051561391523906
42,0.9070714,0.2265556697334562,0.9777857065200806,0.10306923219135829
17,0.8058571,0.3991875408717564,0.8805714249610901,0.30973179004022056
43,0.9085714,0.218726696567876,0.9835000038146973,0.09316642585716077
18,0.81035715,0.39327751601593836,0.901285707950592,0.3049342592103141
44,0.90657145,0.2276140453794173,0.8080714344978333,0.3615782599193709
19,0.81607145,0.3811230830294745,0.889214277267456,0.28980639924321855
45,0.9121429,0.21205273378959724,0.9864285588264465,0.08767416964684215
20,0.8295714,0.36664560610055924,0.9332143068313599,0.250520131111145
46,0.9201428,0.1997576323332531,0.9870714545249939,0.08633012767987591
21,0.8282143,0.36188737564427514,0.9337142705917358,0.2451870425428663
47,0.92085713,0.1986207838452288,0.9876428842544556,0.08203844647322382
22,0.8397857,0.3473361026559557,0.8979285955429077,0.2708659478085382
48,0.9185,0.20427897131336586,0.9910714030265808,0.07353698821898018
23,0.8417857,0.3414945577127593,0.9309285879135132,0.23871885095323836
49,0.9195714,0.19972267698390142,0.9777143001556396,0.0902224998069661
24,0.8511429,0.3311299019115312,0.9404285550117493,0.21641514843702317
50,0.9218571,0.1913161329286439,0.9950000047683716,0.06530983546163355
25,0.8555,0.3222007171085903,0.9610714316368103,0.19772891041636467
51,0.92557144,0.18813660678693225,0.9928571581840515,0.0636625780282276
26,0.8586429,0.31446065438645227,0.9510714411735535,0.19534589180350304
52,0.93064284,0.17799853651385222,0.9910714030265808,0.0651348998152784
27,0.8702143,0.29557502264635904,0.8907142877578735,0.25158874406984877
53,0.92792857,0.18074041475994246,0.9824285507202148,0.08111487104743718
28,0.86807144,0.29698564795085364,0.8951428532600403,0.2402092943404402
54,0.9372857,0.16549896534745182,0.9810000061988831,0.07850737299131495
29,0.87457144,0.28941540880288397,0.9212142825126648,0.2055912165769509
